"Brand","Model","Type","Verified Asset / Access Method"
"Audi","Q3","PDF (API)","https://oneaudi-falcon-asset-urls.prod.renderer.one.audi/api/assets/p123727-e1214567/publish?path=/content/dam/nemo/eg/Brochures/Q3.pdf"
"","Q7","PDF (API)","https://oneaudi-falcon-asset-urls.prod.renderer.one.audi/api/assets/p123727-e1214567/publish?path=/content/dam/nemo/eg/Brochures/Q7.pdf"
"","Q8","PDF (API)","https://oneaudi-falcon-asset-urls.prod.renderer.one.audi/api/assets/p123727-e1214567/publish?path=/content/dam/nemo/eg/Brochures/Q8.pdf"
"","A3 Sedan","PDF (API)","https://oneaudi-falcon-asset-urls.prod.renderer.one.audi/api/assets/p123727-e1214567/publish?path=/content/dam/nemo/eg/Brochures/A3_Sedan.pdf"
"","A5 Sportback","PDF (API)","https://oneaudi-falcon-asset-urls.prod.renderer.one.audi/api/assets/p123727-e1214567/publish?path=/content/dam/nemo/eg/Brochures/A5_Sportback.pdf"
"Porsche","Macan","HTML","https://www.porsche.com/middle-east/_egypt_/models/macan/macan-models/macan/(Digital Brochure)"
"","Macan Electric","HTML","https://www.porsche.com/middle-east/_egypt_/models/macan/macan-electric-models/macan-4-electric/"
"","Cayenne","HTML","https://www.porsche.com/middle-east/_egypt_/models/cayenne/cayenne-models/cayenne/"
"","911 (992)","HTML","https://www.porsche.com/middle-east/_egypt_/models/911/911-models/carrera/"
"Mercedes","C-Class (W206)","PDF (Manual)","https://www.mercedes-benz.com.eg/passengercars/owners-manuals/en-eg/pdf/mercedes-c-class-saloon-2025-october-w206-mbux-owners-manual-1.pdf"
"","E-Class (W214)","PDF (Manual)","https://www.mercedes-benz.com.eg/passengercars/owners-manuals/en-eg/pdf/mercedes-e-class-saloon-2024-september-w214-mbux-owners-manual-1.pdf"
"","GLC (X254)","PDF (Manual)","https://www.mercedes-benz.com.eg/passengercars/owners-manuals/en-eg/pdf/mercedes-glc-suv-2024-september-x254-mbux-owners-manual-1.pdf"
"Volvo","XC60","HTML","https://www.volvocars.com/en-eg/cars/xc60/"
"","XC90","HTML","https://www.volvocars.com/en-eg/cars/xc90/"
"","EX30","HTML","https://www.volvocars.com/en-eg/cars/ex30-electric/"
"Jeep","Grand Cherokee","PDF (Global)","https://www.jeep.com.eg/content/dam/cross-regional/stellantis/jeep/egypt/brochures/grand-cherokee-l-brochure.pdf"
"","Wrangler","PDF (Global)","https://www.jeep.com.eg/content/dam/cross-regional/stellantis/jeep/egypt/brochures/wrangler-brochure.pdf"
"Ford","Focus","PDF (Local)","https://www.fordegypt.com/content/dam/Ford/website-assets/mea/eg/nameplate/focus/brochure/Focus_Brochure_EGY_EN.pdf"
"","Territory","PDF (Local)","https://www.fordegypt.com/content/dam/Ford/website-assets/mea/eg/nameplate/territory/brochure/Territory_Brochure_EGY_EN.pdf"
"Subaru","Crosstrek","PDF (Local)","https://subaru.com.eg/brochures/crosstrek-brochure.pdf"
"","Forester","PDF (Local)","https://subaru.com.eg/brochures/forester-brochure.pdf"